X,Y,tree_id,flag_id,site_id,plot_id,spp,dist_x,dist_y,status,dbh,height_m,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,stem_pa,crown_class,dam_agent_1,dam_agent_2,path_ind_1,path_ind_2,crown_cond,notes,dist_m,az_deg,outside_10,assessed_by,tree_type,dmr,dmr_f,Dec,corr_az_deg,tr_az,tr_leng,dist_y_h,plot_x_utm,plot_y_utm
1264046.70088181,476890.449147927,r1,w60,mi_1,136,Hw,-0.6,2.4,LS,20.9,17.2,Y,Y,0,1,0,N,"-","-",C,,,"-","-","1",,2.437082708842,,,,regen,1,"1",15.6749747447291,131.747475730561,146,21.5,2.36206945912618,1264044.88260679,476892.071876516
1264047.03039398,476889.602967723,r2,w118,mi_1,136,Hw,-0.4,3.3,DS,6.1,,N,"-",,,,"-","-","-","-",,,"-","-","-",,3.27238451786818,,,,regen,,DU,15.6749747447291,138.978890223172,146,21.5,3.2478455062985,1264044.88260679,476892.071876516
1264045.37301979,476888.841201038,r3,w10,mi_1,136,Hw,1.4,3,LS,8.7,,N,"-",0,0,0,"-","-","-",S,,,"-","-","1",,3.26768556515365,,,,regen,0,"0",15.6749747447291,171.368459508423,146,21.5,2.95258682390773,1264044.88260679,476892.071876516
1264045.40018707,476888.62209472,r4,w67,mi_1,136,Dr,1.5,3.2,LS,7.3,,"-","-",,,,"-","-","-",S,,,"-","-","1",,3.48839272247241,,,,regen,,"-",15.6749747447291,171.467398763253,146,21.5,3.14942594550157,1264044.88260679,476892.071876516
1264047.33133695,476888.262655592,r5,w116,mi_1,136,Hw,0.1,4.6,LS,9.1,,Y,N,1,0,0,N,"-","-",S,,,"-","-","1",,4.52840407305093,,,,regen,1,"1",15.6749747447291,147.265356102077,146,21.5,4.52729979665851,1264044.88260679,476892.071876516
1264048.27254843,476889.728518834,r6,w59,mi_1,136,Hw,-1.5,3.9,LS,18.7,20.4,Y,Y,0,0,0,N,"-","-",C,,,"-","-","1",,4.12104713999802,,,,regen,0,IBLC,15.6749747447291,124.65485898062,146,21.5,3.83836287108004,1264044.88260679,476892.071876516
1264050.06295521,476887.968277441,r7,w21,mi_1,136,Hw,-2,6.4,LS,4.2,,N,"-",0,0,0,"-","-","-",S,,,"-","-","2",,6.60874686644858,,,,regen,0,"0",15.6749747447291,128.384410360685,146,21.5,6.29885189100315,1264044.88260679,476892.071876516
1264048.70722495,476886.222817748,r8,w52,mi_1,136,Ep,0.1,7.1,LS,11.7,,"-","-",,,,"-","-","-",C,,,"-","-","1",,6.9885043138817,,,,regen,,"-",15.6749747447291,146.819885520171,146,21.5,6.98778881658162,1264044.88260679,476892.071876516
1264050.02667552,476883.551335173,r9,w50,mi_1,136,Ep,0.5,10.1,LS,10,,"-","-",,,,"-","-","-",C,,,"-","-","1",,9.95294267410568,,,,regen,,"-",15.6749747447291,148.879545694156,146,21.5,9.94037564048934,1264044.88260679,476892.071876516
1264050.52339711,476883.530231793,r10,w53,mi_1,136,Dr,0.1,10.4,LS,9.6,,"-","-",,,,"-","-","-",I,,,"-","-","1",,10.2361228007347,,,,regen,,"-",15.6749747447291,146.559749937057,146,21.5,10.2356343228801,1264044.88260679,476892.071876516
